"slice_pos","pi_slice","id","league_id","league_name","league_abbreviation","season_id","season_name","game_id","game_slug","home_team_id","home_team_name","home_team_location","home_team_nickname","home_team_abbreviation","away_team_id","away_team_name","away_team_location","away_team_nickname","away_team_abbreviation","interval_type","inning","clock_seconds","inning_half","home_team_score","away_team_score","total_score","home_away_score_pair","away_home_score_pair","home_team_outcome","away_team_outcome","is_over","started_at","home_team_final_score","away_team_final_score","venue_name","r"
1,"14","8bfef3c3-cf11-40bc-9283-9b2ee5fa9539","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","7ea08903-9be4-4303-b934-784a24ac2b2b","mlb-2018-chc-phi-2018-09-1-1905","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",6,0,"top",1,4,5,"14","41","loss","win",FALSE,"2018-09-02 04:05:00+00",1,7,"Citizens Bank Park",1
2,"15","a4699fea-730c-4ddc-96e2-21658bb59e0d","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","ccd197e1-9cdd-4c7e-b2cb-a2638d56120b","mlb-2018-tex-min-2018-06-22-1910","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","regularseason",9,0,"top",1,5,6,"15","51","loss","win",FALSE,"2018-06-23 05:10:00+00",1,8,"Target Field",1
3,"92","94fdae73-bd0c-4aec-8859-0016d45903ec","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","ca947a5f-4d9f-4dfe-8710-19a231185943","mlb-2018-chw-chc-2018-05-11-1320","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",7,30,"bottom",9,2,11,"92","29","win","loss",FALSE,"2018-05-11 23:20:00+00",11,2,"Wrigley Field",1
4,"65","c2636d52-591f-4056-96e9-792f6e8ee1de","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","6702b15c-00d8-45e6-9372-7e5597459ec9","mlb-2018-chc-mia-2018-03-31-1910","4b88dffe-8ac6-40ff-bb34-36ab8ecf1fde","Miami","Miami","Marlins","MIA","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",7,30,"bottom",5,6,11,"56","65","loss","win",FALSE,"2018-04-01 04:10:00+00",6,10,"Marlins Park",1
5,"35","bd4aa546-2c13-4866-826e-bfaff3e07eb3","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","de9afd7c-d800-403b-8d98-0c9244aff95f","mlb-2017-kc-min-2017-04-6-1210","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","regularseason",9,0,"top",5,3,8,"53","35","win","loss",FALSE,"2017-04-06 22:10:00+00",5,3,"Target Field",1
6,"89","cc872f88-6d9f-44b5-b426-3fea7086f5d6","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","cc872f88-6d9f-44b5-b426-3fea7086f5d6","mlb-2018-cle-min-2018-05-31-1910","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","c5fefa38-a256-43fe-8147-008c0f8c2f15","Cleveland","Cleveland","Indians","CLE","regularseason",9,30,"end",8,9,17,"89","98","loss","win",TRUE,"2018-06-01 05:10:00+00",8,9,"Target Field",1
7,"79","f2e6221f-8097-466a-a372-daa755c97d4e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","81d026c3-1c36-45de-b91d-82a925bd9a35","mlb-2018-la-stl-2018-09-13-1815","26345a1d-a856-48be-a53b-262367b5437e","St. Louis","St. Louis","Cardinals","STL","f53d7ed3-1ebe-4e02-979d-6e51c0f5fb18","LA Dodgers","Los Angeles","Dodgers","LA","regularseason",9,30,"bottom",7,9,16,"79","97","loss","win",FALSE,"2018-09-14 04:15:00+00",7,9,"Busch Stadium",1
8,"32","e699b25f-0d68-4441-b411-f87d40719dd4","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","33583c51-bf51-4b3c-ae26-a6f7471f1e27","mlb-2017-was-atl-2017-05-20-1610","e0aa8528-46d5-41a4-95fe-50f0a2e3a761","Atlanta","Atlanta","Braves","ATL","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","Washington","Washington","Nationals","WAS","regularseason",5,0,"top",3,2,5,"32","23","win","loss",FALSE,"2017-05-21 01:10:00+00",5,2,"SunTrust Park",1
9,"38","17a81d62-cc10-44f3-b614-c0fb589fbf6b","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","1b78b868-0b52-4e79-85d2-15ed3c3c7593","mlb-2018-tb-tor-2018-09-21-1907","2863bb0d-90f6-4ae2-93ca-e89cda3255ee","Toronto","Toronto","Blue Jays","TOR","6fb020e3-2ac1-409f-a1d0-5b081ef349a4","Tampa Bay","Tampa Bay","Rays","TB","regularseason",6,30,"bottom",3,8,11,"38","83","loss","win",FALSE,"2018-09-22 04:07:00+00",3,11,"Rogers Centre",1
10,"46","26ab6a68-d9d2-4ff3-8e43-37ea440cb0a6","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","be9eb53a-e4b9-4d52-bc63-7d73bfb672a0","mlb-2018-tex-oak-2018-09-8-1305","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","regularseason",7,30,"bottom",6,4,10,"64","46","win","loss",FALSE,"2018-09-09 01:05:00+00",8,6,"Oakland-Alameda County Coliseum",1
11,"26","29a70b21-1589-457d-a3fe-500b89853dca","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","18941659-df69-46ef-b0b3-ff9d28db9413","mlb-2017-oak-tb-2017-06-10-1640","6fb020e3-2ac1-409f-a1d0-5b081ef349a4","Tampa Bay","Tampa Bay","Rays","TB","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","regularseason",8,30,"bottom",2,6,8,"26","62","loss","win",FALSE,"2017-06-11 03:50:00+00",2,7,"Tropicana Field",1
12,"43","a5510d6c-392a-416a-af87-58b36c068d9f","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","e56e537f-c7d5-4441-b20b-57ba63c6227f","mlb-2018-chw-kc-2018-03-31-1815","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",9,30,"bottom",3,4,7,"34","43","loss","win",FALSE,"2018-04-01 04:15:00+00",3,4,"Kauffman Stadium",1
13,"38","9c2e5206-4256-4aab-9de5-3452a863e5fd","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","9c2e5206-4256-4aab-9de5-3452a863e5fd","mlb-2018-mil-pit-2018-09-21-1905","0644a90f-96ca-4d20-b83a-a6008462f89c","Pittsburgh","Pittsburgh","Pirates","PIT","d6c517b0-78de-4834-8d36-b6e63b3224ee","Milwaukee","Milwaukee","Brewers","MIL","regularseason",9,30,"end",3,8,11,"38","83","loss","win",TRUE,"2018-09-22 04:05:00+00",3,8,"PNC Park",1
14,"32","c58e1193-9964-43ac-b4a3-09da6324443e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","2a66fa42-0a00-4612-ab7e-f6201eef20a8","mlb-2018-bal-sea-2018-09-5-1910","eeb2db44-7894-483e-a9a7-373fb80d8e91","Seattle","Seattle","Mariners","SEA","4745e78b-83e2-4296-ae11-d1330e665667","Baltimore","Baltimore","Orioles","BAL","regularseason",7,0,"top",3,2,5,"32","23","win","loss",FALSE,"2018-09-06 07:10:00+00",5,2,"T-Mobile Park",1
