"slice_pos","pi_slice","id","league_id","league_name","league_abbreviation","season_id","season_name","game_id","game_slug","home_team_id","home_team_name","home_team_location","home_team_nickname","home_team_abbreviation","away_team_id","away_team_name","away_team_location","away_team_nickname","away_team_abbreviation","interval_type","inning","clock_seconds","inning_half","home_team_score","away_team_score","total_score","home_away_score_pair","away_home_score_pair","home_team_outcome","away_team_outcome","is_over","started_at","home_team_final_score","away_team_final_score","r"
1,"14","be37068c-34ef-4fa8-8cb7-72d47e1d88fc","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","1b07def1-0780-4db8-97b0-76e881465442","mlb-2018-det-min-2018-05-23-1210","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","9ab4bef1-ea26-456b-a018-bf2bde1f6599","Detroit","Detroit","Tigers","DET","regularseason",9,30,"bottom",1,4,5,"14","41","loss","win",FALSE,"2018-05-23 22:10:00+00",1,4,1
2,"15","a1bb05b6-8170-4e92-836f-a908b23bff09","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","30d69d5e-fd43-4b20-b61c-6cb601fc5d52","mlb-2018-pit-atl-2018-09-2-1705","e0aa8528-46d5-41a4-95fe-50f0a2e3a761","Atlanta","Atlanta","Braves","ATL","0644a90f-96ca-4d20-b83a-a6008462f89c","Pittsburgh","Pittsburgh","Pirates","PIT","regularseason",9,0,"top",5,1,6,"51","15","win","loss",FALSE,"2018-09-03 02:05:00+00",5,1,1
3,"92","eef68e05-9290-4742-aaaa-c1c9281e73f9","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","cef610f4-13f7-4a37-a3e0-125fbeda4f39","mlb-2018-nyy-tb-2018-09-25-1910","6fb020e3-2ac1-409f-a1d0-5b081ef349a4","Tampa Bay","Tampa Bay","Rays","TB","a7768b3c-3700-41a8-b97d-4670e044d036","NY Yankees","New York","Yankees","NYY","regularseason",9,0,"top",2,9,11,"29","92","loss","win",FALSE,"2018-09-26 04:10:00+00",2,9,1
4,"65","c94f8b0b-680b-44f4-af8c-d15d0c8955f9","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","c94f8b0b-680b-44f4-af8c-d15d0c8955f9","mlb-2017-min-oak-2017-07-30-1305","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","regularseason",12,30,"end",6,5,11,"65","56","win","loss",TRUE,"2017-07-31 01:05:00+00",6,5,1
5,"35","95a6373d-31a4-4780-b97a-5567478ba81a","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","508f7fd8-a4a0-4047-a60d-3e9e7f1eebb0","2016","0fe1c204-ce21-410e-95bd-306b7bfb6593","mlb-2016-nym-phi-2016-10-1-1905","94acb560-6d9c-4b89-a32c-7fb817ad7aa7","Philadelphia","Philadelphia","Phillies","PHI","fb65f6d2-6de5-4596-981b-6d9bcb5d9e7d","NY Mets","New York","Mets","NYM","regularseason",9,0,"top",3,5,8,"35","53","loss","win",FALSE,"2016-10-01 22:05:00+00",3,5,1
6,"89","927c75e6-109a-4fbb-af51-543c3c46b32e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","508f7fd8-a4a0-4047-a60d-3e9e7f1eebb0","2016","ece01a07-0362-466e-a9d9-8c4b01205247","mlb-2016-oak-sea-2016-10-1-1810","eeb2db44-7894-483e-a9a7-373fb80d8e91","Seattle","Seattle","Mariners","SEA","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","regularseason",10,30,"bottom",8,9,17,"89","98","loss","win",FALSE,"2016-10-02 06:10:00+00",8,9,1
7,"79","d1fe9243-4ab0-422f-919c-c988a4f4957b","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","e4d3e89f-ce90-43aa-afbb-9a619550857c","mlb-2018-mil-cin-2018-08-28-1910","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","d6c517b0-78de-4834-8d36-b6e63b3224ee","Milwaukee","Milwaukee","Brewers","MIL","regularseason",9,0,"top",9,7,16,"97","79","win","loss",FALSE,"2018-08-29 04:10:00+00",9,7,1
8,"32","1a03b041-56f6-4556-8efd-8384cf13f346","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","1097c9ab-4e79-4538-b46c-d37493e7a259","mlb-2017-sd-ari-2017-09-10-1310","09dc1f54-cf05-4486-8135-80bb0090fde1","Arizona","Arizona","Diamondbacks","ARI","418391e8-4725-420d-9303-bd1736c59d7a","San Diego","San Diego","Padres","SD","regularseason",7,0,"top",3,2,5,"32","23","win","loss",FALSE,"2017-09-11 01:10:00+00",3,2,1
9,"38","d917eb6d-51c7-443c-b50b-5dc00efc5089","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","d917eb6d-51c7-443c-b50b-5dc00efc5089","mlb-2017-cin-sf-2017-05-14-1305","6c498284-84e6-4e74-9f56-b934be3384d5","San Francisco","San Francisco","Giants","SF","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","regularseason",9,0,"end",8,3,11,"83","38","win","loss",TRUE,"2017-05-15 01:05:00+00",8,3,1
10,"46","910d5d26-92aa-49f7-acda-ed4fa25a9aa9","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","80afbdb3-6c07-471d-bfd3-f33560d7fbba","mlb-2018-chw-oak-2018-04-18-1235","9ccdfc26-a7e7-4bcb-8879-3e77d391d58f","Oakland","Oakland","Athletics","OAK","8572e355-63b6-440c-8cb0-8ef52144b993","Chi. White Sox","Chicago","White Sox","CHW","regularseason",2,30,"bottom",4,6,10,"46","64","win","loss",FALSE,"2018-04-19 00:35:00+00",12,11,1
